Key,X,Y
q,0.347826086956522,0.246376811594203
w,0.420289855072464,0.246376811594203
e,0.492753623188406,0.246376811594203
r,0.565217391304348,0.246376811594203
t,0.63768115942029,0.246376811594203
y,0.710144927536232,0.246376811594203
u,0.782608695652174,0.246376811594203
i,0.855072463768116,0.246376811594203
o,0.927536231884058,0.246376811594203
p,1,0.246376811594203
a,0.36231884057971,0.173913043478261
s,0.434782608695652,0.173913043478261
d,0.507246376811594,0.173913043478261
f,0.579710144927536,0.173913043478261
g,0.652173913043478,0.173913043478261
h,0.72463768115942,0.173913043478261
j,0.797101449275362,0.173913043478261
k,0.869565217391304,0.173913043478261
l,0.942028985507246,0.173913043478261
z,0.398550724637681,0.101449275362319
x,0.471014492753623,0.101449275362319
c,0.543478260869565,0.101449275362319
v,0.615942028985507,0.101449275362319
b,0.688405797101449,0.101449275362319
n,0.760869565217391,0.101449275362319
m,0.833333333333333,0.101449275362319
